"Время","T, °С","H, %","P, мм.рт.ст.","V, м/с","N, град","Пыль (ПНЗ №5 ул. Татарстан, 72)","PM10, мг/м3"
"5/4/2016 0:19","10.46","74.2","757.26","0.8","9","0.1","0.01"
"5/4/2016 0:39","10.3","76","757.11","0.9","7","0.1","0.01"
"5/4/2016 0:59","10.24","76.9","757.05","0.8","1","0.1","0.007"
"5/4/2016 1:19","10.13","77.7","756.93","0.9","1","0.1","0.007"
"5/4/2016 1:39","10.04","78.6","756.86","0.8","2","0.1","0.007"
"5/4/2016 1:59","9.9","79.7","756.73","0.7","0","0.1","0.007"
"5/4/2016 2:19","9.84","80.4","756.7","1","1","0.1","0.007"
"5/4/2016 2:39","9.75","80.9","756.7","0.9","2","0.1","0.007"
"5/4/2016 2:59","9.6","81.9","756.69","0.8","3.8","0.1","0.007"
"5/4/2016 3:19","9.6","82.2","756.58","0.3","347","0.1","0.007"
"5/4/2016 3:39","9.6","82.8","756.44","0.5","12","0.1","0.007"
"5/4/2016 3:59","9.65","82.6","756.38","0.4","17.9","0.1","0.007"
"5/4/2016 4:19","9.65","82.5","756.3","0.4","135.3","0.1","0.007"
"5/4/2016 4:39","9.57","82.9","756.27","0.5","1","0.1","0.007"
"5/4/2016 4:59","9.44","83.6","756.23","0.7","347","0.1","0.007"
"5/4/2016 5:19","9.41","83.8","756.2","0.6","1","0.1","0.007"
"5/4/2016 5:39","9.46","83.4","756.2","0.6","3","0.1","0.007"
"5/4/2016 5:59","9.42","83.7","756.13","0.8","354","0.1","0.007"
"5/4/2016 6:19","9.41","83.2","756.09","0.9","356","0.1","0.007"
"5/4/2016 6:39","9.6","82.5","756.03","0.6","0","0.1","0.007"
"5/4/2016 6:59","9.77","81.3","756.1","0.7","2","0.1","0.005"
"5/4/2016 7:19","9.87","80.8","755.99","0.7","1","0.1","0.005"
"5/4/2016 7:39","10.04","80.2","755.9","0.8","7","0.1","0.005"
"5/4/2016 7:59","10.18","79.4","755.9","1","352","0.1","0.005"
"5/4/2016 8:19","10.36","78.9","755.82","0.9","0","0.1","0.005"
"5/4/2016 8:39","10.72","77.1","755.79","0.8","360","0.1","0.005"
"5/4/2016 8:59","11.01","75.3","755.65","1.1","350","0.1","0.005"
"5/4/2016 9:19","11.18","74.6","755.6","1.2","345","0.1","0.005"
"5/4/2016 9:39","11.43","73.1","755.5","1.2","357","0.1","0.005"
"5/4/2016 9:59","11.85","71.5","755.42","1.1","358","0.1","0.003"
"5/4/2016 10:19","12.12","70.9","755.4","0.9","358","0.1","0.003"
